Id;F_wh;C_wh;F_coord;C_coord
37706;256837;331551;50.942949,39.483822;47.125646068958,39.429415875834
37707;254166;331551;50.860139,39.082365;47.125646068958,39.429415875834
37708;249770;331551;45.789737,39.443165;47.125646068958,39.429415875834
37709;237419;331551;45.807199,39.159656;47.125646068958,39.429415875834
37712;207903;331551;46.546867,48.627441;47.125646068958,39.429415875834
37713;207701;331551;47.75838,46.40756;47.125646068958,39.429415875834
37714;207496;331551;45.781837,47.223815;47.125646068958,39.429415875834
37715;207283;331551;48.586634,45.736744;47.125646068958,39.429415875834
37716;207068;331551;56.371256,75.236357;47.125646068958,39.429415875834
37717;206870;331551;56.278887,70.867455;47.125646068958,39.429415875834
37718;206669;331551;53.778852,73.878365;47.125646068958,39.429415875834
37719;206460;331551;57.510578,72.401903;47.125646068958,39.429415875834
37720;206170;331551;54.828844,84.6789;47.125646068958,39.429415875834
37721;205972;331551;55.214532,75.97409;47.125646068958,39.429415875834
37722;205774;331551;53.734294,78.042389;47.125646068958,39.429415875834
37723;205576;331551;56.562356,76.622745;47.125646068958,39.429415875834
37724;205378;331551;58.603398,99.179748;47.125646068958,39.429415875834
37725;205178;331551;56.210117,89.531258;47.125646068958,39.429415875834
37726;204980;331551;52.23931,93.024833;47.125646068958,39.429415875834
37727;204781;331551;69.351032419591,88.202377629639;47.125646068958,39.429415875834
37728;204491;331551;51.198760372747,49.726530333313;47.125646068958,39.429415875834
37729;204243;331551;51.750065,42.758712;47.125646068958,39.429415875834
37730;203515;331551;50.466326,48.132119;47.125646068958,39.429415875834
37731;203456;331551;52.495501,48.105772;47.125646068958,39.429415875834
37732;203205;331551;52.844158,86.477156;47.125646068958,39.429415875834
37733;203007;331551;53.331386,78.329203;47.125646068958,39.429415875834
37734;202809;331551;50.817296,81.96146;47.125646068958,39.429415875834
37735;202611;331551;54.056017,80.785296;47.125646068958,39.429415875834
37736;202361;331551;54.349886,63.056397;47.125646068958,39.429415875834
37737;202156;331551;54.990628,57.278469;47.125646068958,39.429415875834
37738;201958;331551;52.422348,60.336801;47.125646068958,39.429415875834
37739;201759;331551;56.205951,61.502842;47.125646068958,39.429415875834
37740;201561;331551;55.065035,67.887375;47.125646068958,39.429415875834
37741;201363;331551;55.329252,62.369653;47.125646068958,39.429415875834
37742;201080;331551;54.370142,64.388374;47.125646068958,39.429415875834
37743;200874;331551;56.519705,64.633057;47.125646068958,39.429415875834
37744;200658;331551;53.476283,51.941084;47.125646068958,39.429415875834
37745;200442;331551;53.377259,48.023971;47.125646068958,39.429415875834
37746;199995;331551;52.095264,50.867337;47.125646068958,39.429415875834
37747;199556;331551;54.433653,51.466315;47.125646068958,39.429415875834
37748;199128;331551;53.111703,46.828259;47.125646068958,39.429415875834
37749;198930;331551;53.446904,42.415645;47.125646068958,39.429415875834
37750;198732;331551;52.455683,44.202735;47.125646068958,39.429415875834
37751;198534;331551;53.868589,44.854167;47.125646068958,39.429415875834
37752;198335;331551;51.202495,61.451054;47.125646068958,39.429415875834
37753;198137;331551;51.802207,50.972251;47.125646068958,39.429415875834
37754;197939;331551;50.732985,55.569999;47.125646068958,39.429415875834
37755;197741;331551;54.229322,52.705281;47.125646068958,39.429415875834
37756;197543;331551;55.723293,54.049816;47.125646068958,39.429415875834
37757;197345;331551;54.964153,48.290142;47.125646068958,39.429415875834
37758;197147;331551;54.428117,50.804958;47.125646068958,39.429415875834
37759;196949;331551;56.525271,50.29961;47.125646068958,39.429415875834
37760;196751;331551;54.319176,59.378631;47.125646068958,39.429415875834
37761;196553;331551;54.481448,53.46557;47.125646068958,39.429415875834
37762;196355;331551;51.863733,58.21719;47.125646068958,39.429415875834
37763;196157;331551;56.264957,54.929824;47.125646068958,39.429415875834
37764;195959;331551;44.794258,45.210897;47.125646068958,39.429415875834
37765;195761;331551;45.572027,41.03259;47.125646068958,39.429415875834
37766;195563;331551;43.72219,44.835069;47.125646068958,39.429415875834
37767;195346;331551;46.074509,43.102901;47.125646068958,39.429415875834
37768;195148;331551;47.119671,43.891164;47.125646068958,39.429415875834
37769;194950;331551;47.335743,38.382694;47.125646068958,39.429415875834
37770;194752;331551;46.00262,41.267859;47.125646068958,39.429415875834
37771;194499;331551;49.790909,41.152847;47.125646068958,39.429415875834
37772;194250;331551;50.050167,46.880398;47.125646068958,39.429415875834
37773;194033;331551;50.794522,41.995844;47.125646068958,39.429415875834
37775;193619;331551;50.978713,44.778834;47.125646068958,39.429415875834
37776;193401;331551;44.39317,41.515614;47.125646068958,39.429415875834
37777;192474;331551;45.215581,36.718404;47.125646068958,39.429415875834
37778;191899;331551;43.512822,39.8737;47.125646068958,39.429415875834
37779;191701;331551;46.711524,38.276451;47.125646068958,39.429415875834
37780;190893;331551;54.142795,38.664873;47.125646068958,39.429415875834
37781;190679;331551;54.098505,36.247372;47.125646068958,39.429415875834
